sample,Si-H (stretch)
0cb_0020.csv,0.92777019128785
0cb_0030.csv,0.8676889687708484
0cb_0040.csv,0.8684295349844235
0cb_0050.csv,0.8659785225527884
0cb_0120.csv,0.8463483859670948
0cb_0180.csv,0.8321185689009173
0cb_0300.csv,0.82584508082653
0cb_0450.csv,0.7926019810939627
0cb_0600.csv,0.7533548381401667
0cb_0900.csv,0.7260597349270561
0cb_1200.csv,0.6903822523940666
0cb_1500.csv,0.6605059871886252
5e-3_0000.csv,1.0624426717615725
5e-3_0010.csv,0.9394808754596977
5e-3_0020.csv,0.9206509790006048
5e-3_0030.csv,0.8845504685136163
5e-3_0040.csv,0.831766975018354
5e-3_0050.csv,0.7700640032297588
5e-3_0060.csv,0.7850954974136184
5e-3_0120.csv,0.7613989571069031
5e-3_0180.csv,0.7781773692519994
5e-3_0300.csv,0.5939544299414994
5e-3_0450.csv,0.4860749242742428
5e-3_0600.csv,0.4684710971309391
5e-3_0900.csv,0.3198761063239396
5e-3_1200.csv,0.2624119614534833
5e-3_1800.csv,0.2510019713775359